InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID
536365,85123A,Laptop,15,2024-01-15 10:00:00,1000.00,10001
536365,71053,Mouse,12,2024-01-15 10:05:00,20.00,10001
536365,84406B,Keyboard,14,2024-01-15 10:10:00,50.00,10001
536401,90001,Smartphone,20,2024-02-15 11:00:00,800.00,10002
536401,90007,Smartwatch,18,2024-02-15 11:05:00,250.00,10002
536402,22752,Laptop,10,2024-03-15 12:00:00,1000.00,10003
536402,22753,Mouse,8,2024-03-15 12:05:00,20.00,10003
536403,22745,Keyboard,6,2024-04-15 12:10:00,50.00,10003
536403,90006,Router,5,2024-04-15 12:15:00,120.00,10003
536404,90002,Tablet,25,2024-05-15 14:00:00,600.00,10004
536404,90003,Monitor,22,2024-05-15 14:05:00,300.00,10004
536405,90004,Printer,2,2024-06-15 14:10:00,250.00,10004
536405,84879,Laptop,1,2024-06-15 15:00:00,1000.00,10005
536406,90010,Bluetooth Speaker,3,2024-07-15 16:00:00,80.00,10006
536407,90012,Drone,16,2024-08-15 16:05:00,600.00,10006
536407,90011,VR Headset,13,2024-08-15 17:00:00,350.00,10007
536408,90005,Webcam,30,2024-09-15 17:05:00,80.00,10007
536408,90006,Router,28,2024-09-15 17:10:00,120.00,10007
536409,90002,Tablet,35,2024-10-15 18:00:00,600.00,10008
536409,90004,Printer,32,2024-10-15 18:05:00,250.00,10008
536410,90005,Webcam,9,2024-11-15 18:10:00,80.00,10008
536410,85123A,Laptop,7,2024-11-15 10:00:00,1000.00,10009
536411,71053,Mouse,11,2024-12-15 10:05:00,20.00,10009
536411,84406B,Keyboard,12,2024-12-15 10:10:00,50.00,10009
